ID,Season,StartDate,EndDate,Sex,CL,PL,Wt,HR_Type,MCP_Lv,Area_m2
16,2020 Dry,1/11/2020,28/2/2021,M,120.7,97.7,205,MCP,100,11827.27069
16,2020 Mating,1/9/2020,31/10/2020,M,120.7,97.7,205,MCP,100,N.A.
16,2020 Wet,1/5/2020,31/8/2020,M,120.7,97.7,205,MCP,100,N.A.
16,2021 Nesting,1/3/2021,30/4/2021,M,120.7,97.7,205,MCP,100,847.2103271
16,2021 Wet,1/5/2021,31/8/2021,M,120.7,97.7,205,MCP,100,4800.840942
18,2020 Dry,1/11/2020,28/2/2021,F,118.7,102.7,205,MCP,100,795.5675659
18,2020 Mating,1/9/2020,31/10/2020,F,118.7,102.7,205,MCP,100,197.0598755
18,2020 Wet,1/5/2020,31/8/2020,F,118.7,102.7,205,MCP,100,3812.840302
18,2021 Nesting,1/3/2021,30/4/2021,F,118.7,102.7,205,MCP,100,49.31497192
18,2021 Wet,1/5/2021,31/8/2021,F,118.7,102.7,205,MCP,100,1.90725708
21,2020 Dry,1/11/2020,28/2/2021,F,124.9,109.2,246,MCP,100,N.A.
21,2020 Mating,1/9/2020,31/10/2020,F,124.9,109.2,246,MCP,100,N.A.
21,2020 Wet,1/5/2020,31/8/2020,F,124.9,109.2,246,MCP,100,N.A.
21,2021 Nesting,1/3/2021,30/4/2021,F,124.9,109.2,246,MCP,100,299.6198425
21,2021 Wet,1/5/2021,31/8/2021,F,124.9,109.2,246,MCP,100,926.6361389
22,2020 Dry,1/11/2020,28/2/2021,F,112.4,94.2,164,MCP,100,352.0686646
22,2020 Mating,1/9/2020,31/10/2020,F,112.4,94.2,164,MCP,100,2003.824371
22,2020 Wet,1/5/2020,31/8/2020,F,112.4,94.2,164,MCP,100,1057.522675
22,2021 Nesting,1/3/2021,30/4/2021,F,112.4,94.2,164,MCP,100,3275.062164
22,2021 Wet,1/5/2021,31/8/2021,F,112.4,94.2,164,MCP,100,2659.505737
23,2020 Dry,1/11/2020,28/2/2021,J,89,74.7,87,MCP,100,94.21005249
23,2020 Mating,1/9/2020,31/10/2020,J,89,74.7,87,MCP,100,4265.098389
23,2020 Wet,1/5/2020,31/8/2020,J,89,74.7,87,MCP,100,5296.896851
23,2021 Nesting,1/3/2021,30/4/2021,J,89,74.7,87,MCP,100,79.93411255
23,2021 Wet,1/5/2021,31/8/2021,J,89,74.7,87,MCP,100,N.A.
24,2020 Dry,1/11/2020,28/2/2021,F,127,111.7,261,MCP,100,112.2893982
24,2020 Mating,1/9/2020,31/10/2020,F,127,111.7,261,MCP,100,721.6604309
24,2020 Wet,1/5/2020,31/8/2020,F,127,111.7,261,MCP,100,946.6836548
24,2021 Nesting,1/3/2021,30/4/2021,F,127,111.7,261,MCP,100,7.606231689
24,2021 Wet,1/5/2021,31/8/2021,F,127,111.7,261,MCP,100,47.53915405
25,2020 Dry,1/11/2020,28/2/2021,F,141.2,116.6,329,MCP,100,596.8451538
25,2020 Mating,1/9/2020,31/10/2020,F,141.2,116.6,329,MCP,100,254.106781
25,2020 Wet,1/5/2020,31/8/2020,F,141.2,116.6,329,MCP,100,1391.521332
25,2021 Nesting,1/3/2021,30/4/2021,F,141.2,116.6,329,MCP,100,15728.90039
25,2021 Wet,1/5/2021,31/8/2021,F,141.2,116.6,329,MCP,100,N.A.
26,2020 Dry,1/11/2020,28/2/2021,J,101.3,87.1,124,MCP,100,N.A.
26,2020 Mating,1/9/2020,31/10/2020,J,101.3,87.1,124,MCP,100,N.A.
26,2020 Wet,1/5/2020,31/8/2020,J,101.3,87.1,124,MCP,100,N.A.
26,2021 Nesting,1/3/2021,30/4/2021,J,101.3,87.1,124,MCP,100,N.A.
26,2021 Wet,1/5/2021,31/8/2021,J,101.3,87.1,124,MCP,100,242.6917114
30,2020 Dry,1/11/2020,28/2/2021,J,105.4,86.4,132,MCP,100,N.A.
30,2020 Mating,1/9/2020,31/10/2020,J,105.4,86.4,132,MCP,100,426.4411926
30,2020 Wet,1/5/2020,31/8/2020,J,105.4,86.4,132,MCP,100,432.1343079
30,2021 Nesting,1/3/2021,30/4/2021,J,105.4,86.4,132,MCP,100,999.2450256
30,2021 Wet,1/5/2021,31/8/2021,J,105.4,86.4,132,MCP,100,N.A.
32,2020 Dry,1/11/2020,28/2/2021,J,77.1,63.9,77,MCP,100,N.A.
32,2020 Mating,1/9/2020,31/10/2020,J,77.1,63.9,77,MCP,100,N.A.
32,2020 Wet,1/5/2020,31/8/2020,J,77.1,63.9,77,MCP,100,12426.08893
32,2021 Nesting,1/3/2021,30/4/2021,J,77.1,63.9,77,MCP,100,N.A.
32,2021 Wet,1/5/2021,31/8/2021,J,77.1,63.9,77,MCP,100,N.A.
